Region,Site,Plant,Rep,Row,OrderGard,Unique,Biomass_g,codedup,Chemo,a_thujene,a_pinene,sabinene,b_pinene,octen_3_ol,myrcene,a_phellandrene,carene,a_terpinene,p_cymene,limonene,beta_ocimene,gama_terpinene,cis_sab_hydrate,trans_sab_hydrate,borneol,terp_4_ol,cym_8_ol,a_terpineol,nerol,isoborneol_formate,thymoquinone,geraniol,geranial,thymol,carvacrol,eugenol,caryophyllene,germ_D,total,totTC
MT,MS,155,A,11,200,10,0.637,155A,T,0.064,0.014,0.005,0,0.183,0.075,0.014,0.002,0.149,0.369,0.032,0,0.355,0.021,0,0,0,0,0,0,0.024,2.583,0,0,3.933,0.266,0,0,0.012,8.102,4.199
MT,MS,151,B,11,201,27,0.879,151B,T,0.081,0.017,0.017,0,0.056,0.109,0.017,0.006,0.187,0.622,0.045,0.003,0.623,0.096,0.017,0.005,0.012,0,0.006,0,0.033,3.317,0,0,13.062,0.694,0,0,0,19.023,13.756
MT,MS,151,B,11,201,27,0.879,151B,T,0.081,0.017,0.017,0,0.056,0.109,0.017,0.006,0.187,0.622,0.045,0.003,0.623,0.096,0.017,0.005,0.012,0,0.006,0,0.033,3.317,0,0,13.062,0.694,0,0,0,19.023,13.756
WI,BOL,19,A,11,202,169,1.5355,19A,X,0,0,0,0,0.114,0,0,0,0,1.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.326,0
WI,BOL,211,A,11,203,35,0.974,211A,C,0.048,0.008,0.005,0.003,0.231,0.051,0.009,0.003,0.063,0.404,0.018,0,0.339,0.048,0.019,0.004,0.007,0,0.005,0,0.217,1.797,0,0,0.022,5.019,0,0.003,0.009,8.333,5.041
WI,BOL,24,B,11,204,346,3.237,24B,C,0.113,0.021,0.013,0.005,0.491,0.127,0.016,0.009,0.111,0.709,0.052,0.003,0.371,0.074,0.017,0,0.012,0,0.008,0,0.3,2.294,0,0,0.036,13.617,0.065,0.008,0.011,18.483,13.653
MT,NH,9,B,11,205,177,1.0144,9B,T,0.14,0.025,0.021,0,0.049,0.162,0.016,0.003,0.248,1.122,0.068,0.001,0.571,0.226,0.065,0.015,0.03,0,0.024,0,0.005,10.704,0,0,21.694,1.681,0.042,0,0.008,36.919,23.375
WI,BEN,208,B,11,206,140,3.4867,208B,T,0.042,0.013,0.003,0.004,0.141,0.043,0.004,0.003,0.037,0.326,0.019,0,0.178,0.03,0.005,0,0.004,0.002,0.004,0,0.004,0.894,0,0,6.01,0.493,0,0,0.006,8.266,6.503
MT,CWN,46,A,11,207,82,0.724,46A,T,0.091,0.013,0.012,0.005,0.054,0.09,0.013,0.008,0.114,1.017,0.054,0.003,0.29,0.114,0.024,0.008,0.017,0.006,0.011,0,0.276,4.018,0,0,11.908,0.299,0.005,0,0,18.449,12.207
WI,SDA,206,B,11,208,163,3.0812,206B,T,0.008,0,0,0,0.093,0.01,0,0,0.006,0.777,0,0,0.034,0.015,0.006,0,0,0.026,0,0,0.033,0.476,0,0,0.787,0,0,0,0,2.27,0.787
WI,SRD,175,A,11,209,175,2.788,175A,T,0.007,0.001,0.001,0,0.011,0.009,0.002,0.001,0.014,0.04,0.003,0,0.038,0.002,0,0,0,0,0,0,0.005,0.217,0,0,0.475,0.034,0,0.001,0.002,0.864,0.509
